AVE_iter:91	EPISODE_REWARD:75.16608073288438	FINISHED_NUM:631.78125	TIME_MEAN:0.024235308357767202	TIME_STD:0.010475364166759503	FARE_MEAN:0.9521992383266097	FARE_STD:0.38006763065251314
AVE_iter:92	EPISODE_REWARD:75.14486435872813	FINISHED_NUM:642.28125	TIME_MEAN:0.02432942547846409	TIME_STD:0.010586875926745764	FARE_MEAN:0.9584187258091119	FARE_STD:0.38615672510941024
AVE_iter:93	EPISODE_REWARD:74.7178202386375	FINISHED_NUM:636.6875	TIME_MEAN:0.025362273147341054	TIME_STD:0.011560018526807766	FARE_MEAN:0.9529530574149896	FARE_STD:0.3756935381338998
AVE_iter:94	EPISODE_REWARD:76.66246176109375	FINISHED_NUM:637.90625	TIME_MEAN:0.023744535353959623	TIME_STD:0.010019679047117713	FARE_MEAN:0.9691236826825795	FARE_STD:0.3902491973223805
AVE_iter:95	EPISODE_REWARD:75.70347505211251	FINISHED_NUM:638.28125	TIME_MEAN:0.02519295860804279	TIME_STD:0.011744819043326114	FARE_MEAN:0.9609467541531699	FARE_STD:0.37695457596787396
AVE_iter:96	EPISODE_REWARD:76.87147440362187	FINISHED_NUM:646.4375	TIME_MEAN:0.025380440408873474	TIME_STD:0.012249776273862622	FARE_MEAN:0.9861909737110823	FARE_STD:0.4125890274661477
AVE_iter:97	EPISODE_REWARD:75.54122399688438	FINISHED_NUM:627.8125	TIME_MEAN:0.022532346642136672	TIME_STD:0.008653413309984554	FARE_MEAN:0.9440822159678188	FARE_STD:0.3827596180619206
AVE_iter:98	EPISODE_REWARD:76.71258555356562	FINISHED_NUM:640.59375	TIME_MEAN:0.026550246321938573	TIME_STD:0.01355236828221517	FARE_MEAN:0.9774989189798794	FARE_STD:0.3985833535925819
AVE_iter:99	EPISODE_REWARD:75.33850439565312	FINISHED_NUM:633.6875	TIME_MEAN:0.02284058275131301	TIME_STD:0.009322640277260819	FARE_MEAN:0.9501688554834857	FARE_STD:0.37682699791590046
AVE_iter:100	EPISODE_REWARD:76.07720693058126	FINISHED_NUM:643.03125	TIME_MEAN:0.024673817050038793	TIME_STD:0.011025590681080364	FARE_MEAN:0.9696855565083944	FARE_STD:0.39477633311043175
AVE_iter:101	EPISODE_REWARD:76.37485040745	FINISHED_NUM:643.125	TIME_MEAN:0.02436272390690787	TIME_STD:0.01032084509208088	FARE_MEAN:0.9673178563512199	FARE_STD:0.3853995862732396
AVE_iter:102	EPISODE_REWARD:77.89998810495626	FINISHED_NUM:644.09375	TIME_MEAN:0.024457397919625368	TIME_STD:0.010675960689067635	FARE_MEAN:0.9857813462404604	FARE_STD:0.4035392902955999
AVE_iter:103	EPISODE_REWARD:75.38148248396875	FINISHED_NUM:633.9375	TIME_MEAN:0.025624285088187763	TIME_STD:0.01170094650314097	FARE_MEAN:0.9550422257794287	FARE_STD:0.37814404346117336
AVE_iter:104	EPISODE_REWARD:75.50977568582188	FINISHED_NUM:640.28125	TIME_MEAN:0.024835446935485096	TIME_STD:0.011645279417848523	FARE_MEAN:0.9631383699635174	FARE_STD:0.3728939696006179
AVE_iter:105	EPISODE_REWARD:76.80725678032812	FINISHED_NUM:632.9375	TIME_MEAN:0.024194608276297616	TIME_STD:0.010277687208352345	FARE_MEAN:0.9679057958723387	FARE_STD:0.391215574107872
AVE_iter:106	EPISODE_REWARD:76.18038972861876	FINISHED_NUM:631.34375	TIME_MEAN:0.023794673164516687	TIME_STD:0.01046734192084086	FARE_MEAN:0.9572415859139018	FARE_STD:0.3840725935073678
AVE_iter:107	EPISODE_REWARD:76.08916747113125	FINISHED_NUM:642.0	TIME_MEAN:0.024567359917446577	TIME_STD:0.01106313273319565	FARE_MEAN:0.9696874642892035	FARE_STD:0.3640433964258041
AVE_iter:108	EPISODE_REWARD:76.38747108720312	FINISHED_NUM:643.15625	TIME_MEAN:0.02472313398778761	TIME_STD:0.011742359700684667	FARE_MEAN:0.9728770148304646	FARE_STD:0.39725278875298886
AVE_iter:109	EPISODE_REWARD:76.40659640667499	FINISHED_NUM:638.75	TIME_MEAN:0.02457109375328382	TIME_STD:0.010479244755808043	FARE_MEAN:0.9677357092345692	FARE_STD:0.409720239372273
AVE_iter:110	EPISODE_REWARD:76.81465126615625	FINISHED_NUM:637.0	TIME_MEAN:0.024222317325031273	TIME_STD:0.010315247822136478	FARE_MEAN:0.9733348568301081	FARE_STD:0.38868890255126537
AVE_iter:111	EPISODE_REWARD:74.85663563416563	FINISHED_NUM:640.71875	TIME_MEAN:0.02561205427157271	TIME_STD:0.011532148312516179	FARE_MEAN:0.9552595510399523	FARE_STD:0.36729357322992506
AVE_iter:112	EPISODE_REWARD:76.21255515770625	FINISHED_NUM:639.6875	TIME_MEAN:0.02483134552441603	TIME_STD:0.010851607304759432	FARE_MEAN:0.9721938318152333	FARE_STD:0.38706163813034944
AVE_iter:113	EPISODE_REWARD:76.04946588096875	FINISHED_NUM:646.03125	TIME_MEAN:0.02377607892649885	TIME_STD:0.010816946521191868	FARE_MEAN:0.9678927201332821	FARE_STD:0.39008287028354816
AVE_iter:114	EPISODE_REWARD:76.39469909536561	FINISHED_NUM:638.4375	TIME_MEAN:0.025097177805735945	TIME_STD:0.011658034052253075	FARE_MEAN:0.9696502233052142	FARE_STD:0.39915978239511735
